"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",10,"ALB","Albania","4.47532",2020,"","Institute of Statistics","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",10,"ALB","Albania","7.30382",2021,"","Institute of Statistics","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",10,"ALB","Albania","11.5594",2022,"","Institute of Statistics","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",10,"ALB","Albania","12.718",2023,"","Institute of Statistics","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",18,"SAU","Saudi Arabia","70.25",2021,"","The Communications, Space and Technology Commission (CST)","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",18,"SAU","Saudi Arabia","73.6241",2022,"","The Communications, Space and Technology Commission (CST)","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",18,"SAU","Saudi Arabia","75.8833",2023,"Results are based on unweighted survey data","Communications & IT Commission","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",18,"SAU","Saudi Arabia","79.22",2024,"Results are based on unweighted survey data using quota sampling","Communications, Space and Technology Commission","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",27,"BRA","Brazil","28.8458",2022,"","","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
33797,"HHU781l_HHTotalIndividual","Changing privacy settings on your device, account or app",,"%",27,"BRA","Brazil","32.7554",2023,"","","Refers to the proportion of individuals with ICT skills, defined as having undertaken certain activities in the last three months, independent of the device(s) used. Individuals can have carried out multiple activities and therefore be considered to possess several ICT skills."
